"condition","plot_id","thermal.time","DAS","phenotype_value"
"Optimum",3024,1101,78,41.26263163
"Optimum",3025,1101,78,49.3561336
"Optimum",3026,1101,78,50.37064376
"Optimum",3027,1101,78,53.34375368
"Optimum",3028,1101,78,50.21168274
"Optimum",3029,1101,78,48.04907726
"Optimum",3030,1101,78,47.39705047
"Optimum",6091,1101,78,51.24590034
"Optimum",6092,1101,78,55.42909742
"Optimum",6093,1101,78,46.66106105
"Optimum",6094,1101,78,47.7174829
"Optimum",6095,1101,78,56.42973435
"Optimum",6096,1101,78,52.80547742
"Optimum",6097,1101,78,50.62730749
"Optimum",6098,1101,78,41.28023917
"Optimum",6099,1101,78,55.95475759
"Optimum",6100,1101,78,47.73732078
"Optimum",3020,1101,78,48.26698099
"Optimum",3019,1101,78,41.21013049
"Optimum",3018,1101,78,39.26221084
"Optimum",3017,1101,78,46.42700784
"Optimum",3016,1101,78,48.13077952
"Optimum",3015,1101,78,51.13519704
"Optimum",3014,1101,78,44.38138671
"Optimum",3013,1101,78,44.18845396
"Optimum",3012,1101,78,44.23323307
"Optimum",3011,1101,78,48.41597031
"Optimum",6110,1101,78,47.28447339
"Optimum",6109,1101,78,43.65244195
"Optimum",6108,1101,78,46.36318447
"Optimum",6107,1101,78,54.38017452
"Optimum",6106,1101,78,45.12807662
"Optimum",6105,1101,78,53.9194418
"Optimum",6103,1101,78,50.67938244
"Optimum",6102,1101,78,46.1948808
"Optimum",6101,1101,78,46.22361013
"Optimum",3001,1101,78,47.5056767
"Optimum",3002,1101,78,43.8943135
"Optimum",3003,1101,78,47.95971703
"Optimum",3004,1101,78,46.6264048
"Optimum",3005,1101,78,43.09887704
"Optimum",3006,1101,78,48.04708036
"Optimum",3007,1101,78,47.1173654
"Optimum",3008,1101,78,49.65394831
"Optimum",3009,1101,78,46.52862811
"Optimum",3010,1101,78,46.12659974
"Optimum",6111,1101,78,45.44937698
"Optimum",6112,1101,78,53.77056778
"Optimum",6113,1101,78,45.50693466
"Optimum",6114,1101,78,50.02811826
"Optimum",6115,1101,78,43.86532574
"Optimum",6116,1101,78,45.75513977
"Optimum",6117,1101,78,46.60325886
"Optimum",6118,1101,78,46.56417337
"Optimum",6119,1101,78,46.26648187
"Optimum",6120,1101,78,56.63871533
"Optimum",2119,1101,78,50.82025809
"Optimum",2118,1101,78,51.57712255
"Optimum",2116,1101,78,53.30903231
"Optimum",2115,1101,78,45.15968794
"Optimum",2114,1101,78,50.80994288
"Optimum",2113,1101,78,49.28855701
"Optimum",2112,1101,78,49.52293015
"Optimum",2111,1101,78,46.86065848
"Optimum",7010,1101,78,51.03969739
"Optimum",7009,1101,78,54.1013539
"Optimum",7008,1101,78,45.78465859
"Optimum",7007,1101,78,45.69724788
"Optimum",7006,1101,78,49.78409696
"Optimum",7005,1101,78,52.6044563
"Optimum",7004,1101,78,53.33127063
"Optimum",7003,1101,78,46.62110413
"Optimum",7002,1101,78,44.24115645
"Optimum",7001,1101,78,49.6761514
"Optimum",10120,1101,78,52.11653773
"Optimum",10119,1101,78,43.43681921
"Optimum",10118,1101,78,47.12132698
"Optimum",10117,1101,78,51.14741711
"Optimum",10116,1101,78,41.97290773
"Optimum",10115,1101,78,42.94253828
"Optimum",10114,1101,78,43.74757309
"Optimum",10113,1101,78,38.56840203
"Optimum",10112,1101,78,44.41841598
"Optimum",10111,1101,78,42.73686243
"Optimum",2101,1101,78,45.6606091
"Optimum",2102,1101,78,42.15880203
"Optimum",2103,1101,78,54.81160384
"Optimum",2104,1101,78,52.95583457
"Optimum",2105,1101,78,51.46146594
"Optimum",2106,1101,78,44.34809776
"Optimum",2107,1101,78,51.45532371
"Optimum",2108,1101,78,46.44514869
"Optimum",2109,1101,78,42.31596212
"Optimum",7011,1101,78,45.54608694
"Optimum",7012,1101,78,49.49074042
"Optimum",7013,1101,78,43.75105666
"Optimum",7014,1101,78,47.97938919
"Optimum",7015,1101,78,43.29791173
"Optimum",7016,1101,78,47.45989879
"Optimum",7017,1101,78,46.30716915
"Optimum",7018,1101,78,46.15014797
"Optimum",7019,1101,78,46.55352795
"Optimum",7020,1101,78,49.68247347
"Optimum",10101,1101,78,45.62149281
"Optimum",10102,1101,78,45.8025831
"Optimum",10103,1101,78,45.21312936
"Optimum",10104,1101,78,47.37850105
"Optimum",10105,1101,78,48.53785287
"Optimum",10106,1101,78,46.54988288
"Optimum",10107,1101,78,36.75466653
"Optimum",10108,1101,78,42.59886533
"Optimum",10109,1101,78,40.18850058
"Optimum",10110,1101,78,41.73153493
"Optimum",2099,1101,78,51.26517787
"Optimum",2098,1101,78,45.27474406
"Optimum",2096,1101,78,56.45713919
"Optimum",2095,1101,78,48.27050231
"Optimum",2094,1101,78,53.40803369
"Optimum",2093,1101,78,56.69996154
"Optimum",2092,1101,78,47.99047532
"Optimum",2091,1101,78,50.74184604
"Optimum",7030,1101,78,53.67046501
"Optimum",7029,1101,78,44.64165362
"Optimum",7028,1101,78,41.32247608
"Optimum",7027,1101,78,40.29016231
"Optimum",7026,1101,78,52.37051642
"Optimum",7025,1101,78,48.76236473
"Optimum",7024,1101,78,48.17673991
"Optimum",7023,1101,78,56.22070359
"Optimum",7022,1101,78,55.30394336
"Optimum",10100,1101,78,47.95745384
"Optimum",10099,1101,78,52.11527671
"Optimum",10098,1101,78,44.24724267
"Optimum",10097,1101,78,48.48137169
"Optimum",10096,1101,78,42.70762924
"Optimum",10095,1101,78,50.08302318
"Optimum",10094,1101,78,51.92538635
"Optimum",10093,1101,78,46.43491076
"Optimum",10092,1101,78,53.67479956
"Optimum",10091,1101,78,42.09751012
"Optimum",2082,1101,78,46.80056102
"Optimum",2083,1101,78,51.32087479
"Optimum",2084,1101,78,45.42008336
"Optimum",2085,1101,78,52.64862475
"Optimum",2086,1101,78,45.42963043
"Optimum",2087,1101,78,45.75909634
"Optimum",2088,1101,78,47.89869962
"Optimum",2089,1101,78,49.08831751
"Optimum",2090,1101,78,48.72807065
"Optimum",7031,1101,78,52.94907017
"Optimum",7032,1101,78,48.24306056
"Optimum",7033,1101,78,52.65055857
"Optimum",7034,1101,78,41.41514896
"Optimum",7035,1101,78,50.66411038
"Optimum",7036,1101,78,46.75816436
"Optimum",7037,1101,78,48.13415223
"Optimum",7038,1101,78,52.86762634
"Optimum",7039,1101,78,46.02826154
"Optimum",7040,1101,78,52.26832069
"Optimum",10081,1101,78,47.55080912
"Optimum",10082,1101,78,47.69895596
"Optimum",10083,1101,78,45.52280224
"Optimum",10084,1101,78,46.02340364
"Optimum",10085,1101,78,45.67356261
"Optimum",10086,1101,78,50.09103874
"Optimum",10087,1101,78,45.97119598
"Optimum",10088,1101,78,36.9883592
"Optimum",10089,1101,78,38.53118861
"Optimum",10090,1101,78,45.86771332
